DWPBarcode,DWPWell,PetriDishID,ColonyID
190107ONCD35_01,A1,SBC009409_D35,SBC009409_D35_0001
190107ONCD35_01,B1,SBC009409_D35,SBC009409_D35_0002
190107ONCD35_01,C1,SBC009416_D35,SBC009416_D35_0003
190107ONCD35_01,D1,SBC009416_D35,SBC009416_D35_0004
190107ONCD35_01,E1,SBC009416_D35,SBC009416_D35_0005
190107ONCD35_01,F1,SBC009416_D35,SBC009416_D35_0006
190107ONCD35_01,G1,SBC009422_D35,SBC009422_D35_0007
190107ONCD35_01,H1,SBC009422_D35,SBC009422_D35_0008
190107ONCD35_01,A2,SBC009422_D35,SBC009422_D35_0009
190107ONCD35_01,B2,SBC009422_D35,SBC009422_D35_0010
190107ONCD35_01,C2,SBC009427_D35,SBC009427_D35_0011
190107ONCD35_01,D2,SBC009427_D35,SBC009427_D35_0012
190107ONCD35_01,E2,SBC009427_D35,SBC009427_D35_0013
190107ONCD35_01,F2,SBC009427_D35,SBC009427_D35_0014
190107ONCD35_01,G2,SBC009431_D35,SBC009431_D35_0015
190107ONCD35_01,H2,SBC009431_D35,SBC009431_D35_0016
190107ONCD35_01,A3,SBC009431_D35,SBC009431_D35_0017
190107ONCD35_01,B3,SBC009431_D35,SBC009431_D35_0018
190107ONCD35_01,C3,SBC009436_D35,SBC009436_D35_0019
190107ONCD35_01,D3,SBC009436_D35,SBC009436_D35_0020
190107ONCD35_01,E3,SBC009436_D35,SBC009436_D35_0021
190107ONCD35_01,F3,SBC009436_D35,SBC009436_D35_0022
190107ONCD35_01,G3,SBC009438_D35,SBC009438_D35_0023
190107ONCD35_01,H3,SBC009438_D35,SBC009438_D35_0024
190107ONCD35_01,A4,SBC009441_D35,SBC009441_D35_0025
190107ONCD35_01,B4,SBC009441_D35,SBC009441_D35_0026
190107ONCD35_01,C4,SBC009441_D35,SBC009441_D35_0027
190107ONCD35_01,D4,SBC009441_D35,SBC009441_D35_0028
190107ONCD35_01,A4,SBC009443_D35,SBC009443_D35_0029
190107ONCD35_01,B4,SBC009443_D35,SBC009443_D35_0030
190107ONCD35_01,C4,SBC009443_D35,SBC009443_D35_0031
190107ONCD35_01,D4,SBC009443_D35,SBC009443_D35_0032
190107ONCD35_01,E4,SBC009446_D35,SBC009446_D35_0033
190107ONCD35_01,F4,SBC009446_D35,SBC009446_D35_0034
190107ONCD35_01,G4,SBC009446_D35,SBC009446_D35_0035
190107ONCD35_01,H4,SBC009446_D35,SBC009446_D35_0036
190107ONCD35_01,A5,SBC009449_D35,SBC009449_D35_0037
190107ONCD35_01,B5,SBC009449_D35,SBC009449_D35_0038
190107ONCD35_01,C5,SBC009449_D35,SBC009449_D35_0039
190107ONCD35_01,D5,SBC009449_D35,SBC009449_D35_0040
190107ONCD35_01,E5,SBC009451_D35,SBC009451_D35_0041
190107ONCD35_01,F5,SBC009451_D35,SBC009451_D35_0042
190107ONCD35_01,G5,SBC009451_D35,SBC009451_D35_0043
190107ONCD35_01,H5,SBC009451_D35,SBC009451_D35_0044
190107ONCD35_01,A6,SBC009453_D35,SBC009453_D35_0045
190107ONCD35_01,B6,SBC009453_D35,SBC009453_D35_0046
190107ONCD35_01,C6,SBC009453_D35,SBC009453_D35_0047
190107ONCD35_01,D6,SBC009453_D35,SBC009453_D35_0048
190107ONCD35_01,E6,SBC009455_D35,SBC009455_D35_0049
190107ONCD35_01,F6,SBC009455_D35,SBC009455_D35_0050
190107ONCD35_01,G6,SBC009455_D35,SBC009455_D35_0051
190107ONCD35_01,H6,SBC009455_D35,SBC009455_D35_0052
190107ONCD35_01,A7,SBC009458_D35,SBC009458_D35_0053
190107ONCD35_01,B7,SBC009458_D35,SBC009458_D35_0054
190107ONCD35_01,C7,SBC009458_D35,SBC009458_D35_0055
190107ONCD35_01,D7,SBC009458_D35,SBC009458_D35_0056
190107ONCD35_01,E7,SBC009461_D35,SBC009461_D35_0057
190107ONCD35_01,F7,SBC009461_D35,SBC009461_D35_0058
190107ONCD35_01,G7,SBC009461_D35,SBC009461_D35_0059
190107ONCD35_01,H7,SBC009461_D35,SBC009461_D35_0060
190107ONCD35_01,A8,SBC009462_D35,SBC009462_D35_0061
190107ONCD35_01,B8,SBC009462_D35,SBC009462_D35_0062
190107ONCD35_01,C8,SBC009462_D35,SBC009462_D35_0063
190107ONCD35_01,D8,SBC009462_D35,SBC009462_D35_0064
190107ONCD35_01,E8,SBC009464_D35,SBC009464_D35_0065
190107ONCD35_01,F8,SBC008290_D35,SBC008290_D35_0066
190107ONCD35_01,G8,SBC008290_D35,SBC008290_D35_0067
190107ONCD35_01,H8,SBC008290_D35,SBC008290_D35_0068
190107ONCD35_01,A9,SBC008296_D35,SBC008296_D35_0069
190107ONCD35_01,B9,SBC008296_D35,SBC008296_D35_0070
190107ONCD35_01,C9,SBC008296_D35,SBC008296_D35_0071
190107ONCD35_01,D9,SBC008296_D35,SBC008296_D35_0072
190107ONCD35_01,E9,SBC008301_D35,SBC008301_D35_0073
190107ONCD35_01,F9,SBC008301_D35,SBC008301_D35_0074
190107ONCD35_01,G9,SBC008301_D35,SBC008301_D35_0075
190107ONCD35_01,H9,SBC008304_D35,SBC008304_D35_0076
190107ONCD35_01,A10,SBC008304_D35,SBC008304_D35_0077
190107ONCD35_01,B10,SBC008304_D35,SBC008304_D35_0078
190107ONCD35_01,C10,SBC008304_D35,SBC008304_D35_0079
190107ONCD35_01,D10,SBC008307_D35,SBC008307_D35_0080
190107ONCD35_01,E10,SBC008307_D35,SBC008307_D35_0081
190107ONCD35_01,F10,SBC008307_D35,SBC008307_D35_0082
190107ONCD35_01,G10,SBC008307_D35,SBC008307_D35_0083
190107ONCD35_01,H10,SBC008311_D35,SBC008311_D35_0084
190107ONCD35_02,A1,SBC008315_D35,SBC008315_D35_0001
190107ONCD35_02,B1,SBC008315_D35,SBC008315_D35_0002
190107ONCD35_02,C1,SBC008315_D35,SBC008315_D35_0003
190107ONCD35_02,D1,SBC008315_D35,SBC008315_D35_0004
190107ONCD35_02,E1,SBC008318_D35,SBC008318_D35_0005
190107ONCD35_02,F1,SBC008318_D35,SBC008318_D35_0006
190107ONCD35_02,G1,SBC008318_D35,SBC008318_D35_0007
190107ONCD35_02,H1,SBC008318_D35,SBC008318_D35_0008
190107ONCD35_02,A2,SBC008322_D35,SBC008322_D35_0009
190107ONCD35_02,B2,SBC008322_D35,SBC008322_D35_0010
190107ONCD35_02,C2,SBC008322_D35,SBC008322_D35_0011
190107ONCD35_02,D2,SBC008322_D35,SBC008322_D35_0012
190107ONCD35_02,E2,SBC008323_D35,SBC008323_D35_0013
190107ONCD35_02,F2,SBC008323_D35,SBC008323_D35_0014
190107ONCD35_02,G2,SBC008323_D35,SBC008323_D35_0015
190107ONCD35_02,H2,SBC008323_D35,SBC008323_D35_0016
190107ONCD35_02,A3,SBC008324_D35,SBC008324_D35_0017
190107ONCD35_02,B3,SBC008324_D35,SBC008324_D35_0018
190107ONCD35_02,C3,SBC008324_D35,SBC008324_D35_0019
190107ONCD35_02,D3,SBC008324_D35,SBC008324_D35_0020
190107ONCD35_02,E3,SBC008327_D35,SBC008327_D35_0021
190107ONCD35_02,F3,SBC008327_D35,SBC008327_D35_0022
190107ONCD35_02,G3,SBC008327_D35,SBC008327_D35_0023
190107ONCD35_02,H3,SBC008327_D35,SBC008327_D35_0024
190107ONCD35_02,A4,SBC008328_D35,SBC008328_D35_0025
190107ONCD35_02,B4,SBC008328_D35,SBC008328_D35_0026
190107ONCD35_02,C4,SBC008328_D35,SBC008328_D35_0027
190107ONCD35_02,D4,SBC008328_D35,SBC008328_D35_0028
190107ONCD35_02,E4,SBC008330_D35,SBC008330_D35_0029
190107ONCD35_02,F4,SBC008330_D35,SBC008330_D35_0030
