well,id
A1,SBC004913_P
A2,SBC006439_P
A3,SBC007437_P
A4,SBC007458_P
A5,SBC007344_P
A6,SBC007360_P
A7,SBC007194_P
A8,SBC004733_P
A9,SBC000329_P
B1,SBC004914_P
B2,SBC006440_P
B3,SBC007439_P
B4,SBC007460_P
B5,SBC007346_P
B6,SBC007362_P
B7,SBC007302_P
B8,SBC006930_P
B9,SBC000330_P
C1,SBC004915_P
C2,SBC007468_P
C3,SBC007441_P
C4,SBC007462_P
C5,SBC007348_P
C6,SBC007364_P
C7,SBC007304_P
C8,SBC006931_P
C9,SBC000331_P
D1,SBC004918_P
D2,SBC007470_P
D3,SBC007448_P
D4,SBC007464_P
D5,SBC007350_P
D6,SBC007184_P
D7,SBC007306_P
D8,SBC004734_P
D9,SBC000332_P
E1,SBC004923_P
E2,SBC007472_P
E3,SBC007450_P
E4,SBC007466_P
E5,SBC007352_P
E6,SBC007186_P
E7,SBC007308_P
E8,SBC004735_P
F1,SBC004924_P
F2,SBC007474_P
F3,SBC007452_P
F4,SBC007338_P
F5,SBC007354_P
F6,SBC007188_P
F7,SBC007336_P
F8,SBC006924_P
G1,SBC004980_P
G2,SBC007433_P
G3,SBC007454_P
G4,SBC007340_P
G5,SBC007356_P
G6,SBC007190_P
G7,SBC007312_P
G8,SBC007332_P
H1,SBC004981_P
H2,SBC007435_P
H3,SBC007456_P
H4,SBC007342_P
H5,SBC007358_P
H6,SBC007192_P
H7,SBC007314_P
H8,SBC007334_P
